Distance (um),Average Content of C (wt. %),Average Content of N (wt. %)
163.2,0.648865166,1.463723367
164,0.651134834,1.651464
164.8,0.653403776,1.398031867
165.6,0.655670543,1.717117267
166.4,0.657933689,1.534167567
167.2,0.66019177,1.421518433
168,0.662443345,1.552896267
168.8,0.664686984,1.379280433
169.6,0.666921259,1.4121112
170.4,0.669144754,1.548310983
171.2,0.671356063,1.4167988
172,0.673553792,1.50130065
172.8,0.675736557,1.2525344
173.6,0.67790299,1.4965872
174.4,0.68005174,1.609169167
175.2,0.68218147,1.393303967
176,0.684290863,1.468438867
176.8,0.686378619,1.5247779
177.6,0.688443461,1.360486633
178.4,0.69048413,1.388649433
179.2,0.692499395,1.46848335
180,0.694488045,1.215007767
180.8,0.696448894,1.294792033
181.6,0.698380785,1.435571933
182.4,0.700282586,1.3323321
183.2,0.702153195,1.430906033
184,0.703991538,1.332357933
184.8,0.705796572,1.430906033
185.6,0.707567286,1.3980267
186.4,0.709302701,1.398036
187.2,0.71100187,1.543499367
188,0.712663883,1.088293767
188.8,0.714287864,1.407402933
189.6,0.71587297,1.144662767
190.4,0.717418399,1.3745546
191.2,0.718923385,1.186885267
192,0.720387198,1.407390533
192.8,0.72180915,1.3041755
193.6,0.723188591,1.2900755
194.4,0.724524911,1.468420267
195.2,0.72581754,1.069533033
196,0.727065952,1.144636933
196.8,0.72826966,1.238731417
197.6,0.729428221,1.078923733
198.4,0.730541232,1.233784
199.2,0.731608337,1.243169533
200,0.732629219,1.243188133
200.8,0.733603608,1.275993067
201.6,0.734531277,1.247863333
202.4,0.735412041,1.135253467
203.2,0.736245762,1.360537267
204,0.737032346,1.125872067
204.8,0.737771742,1.1915708
205.6,0.738463945,0.966304567
206.4,0.739108994,1.313545533
207.2,0.739706971,1.299467233
208,0.740258006,1.093006167
208.8,0.74076227,1.3464011
209.6,0.74121998,1.3839608
210.4,0.741631396,1.055477467
211.2,0.741996822,1.163396633
212,0.742316606,1.163400767
212.8,0.742591137,1.294788933
213.6,0.74282085,1.313557933
214.4,0.74300622,1.0319754
215.2,0.743147763,1.050810533
216,0.74324604,1.219713967
216.8,0.743301649,1.219694333
217.6,0.743315231,1.036691933
218.4,0.743287464,1.294782733
219.2,0.743219068,1.0883134
220,0.7431108,1.243186067
220.8,0.742963453,1.327605233
221.6,0.74277786,1.238574983
222.4,0.742554888,1.0273374
223.2,0.74229544,1.135286533
224,0.742000453,1.1305886
224.8,0.741670898,1.088306167
225.6,0.741307778,1.1023948
226.4,0.740912129,1.008544633
227.2,0.740485017,1.168075967
228,0.740027536,1.0554754
228.8,0.739540811,0.9944622
229.6,0.739025994,0.975715933
230.4,0.738484264,0.975689067
231.2,0.737916823,1.064848533
232,0.7373249,0.970985967
232.8,0.736709746,1.1727677
233.6,0.736072635,1.0226064
234.4,0.735414859,1.055467133
235.2,0.734737732,0.924077933
236,0.734042585,0.8677699
236.8,0.733330768,0.8865482
237.6,0.732603644,0.966325233
238.4,0.731862593,1.130565867
239.2,0.731109005,0.924062433
240,0.730344285,0.900612033
240.8,0.729569847,1.107089633
241.6,0.728787114,0.9287738
242.4,0.727997518,0.816135
243.2,0.727202496,0.909972767
244,0.726403491,0.9240831
244.8,0.725601949,1.060145433
245.6,0.72479932,0.9850684
246.4,0.723997054,0.6331574
247.2,0.723196599,0.8724234
248,0.722399405,0.834943267
248.8,0.721606916,1.060176433
249.6,0.720820572,0.8771575
250.4,0.720041808,0.7879877
251.2,0.719272051,0.750436267
252,0.718512721,0.619062567
252.8,0.717765227,0.7410497
253.6,0.717030966,0.811455667
254.4,0.716311324,0.759832133
255.2,0.715607673,0.881842
256,0.714921369,0.7926846
256.8,0.714253752,0.637842933
257.6,0.713606145,0.830237067
258.4,0.712979852,0.764517667
259.2,0.712376156,0.8114536
260,0.711796319,0.6472233
260.8,0.711241582,0.712938567
261.6,0.710713159,0.778585633
262.4,0.710212242,0.6800458
263.2,0.709739997,0.792679433
264,0.709297562,0.694157167
264.8,0.708886046,0.863073
265.6,0.70850653,0.553392767
266.4,0.708160065,0.628442933
267.2,0.707847671,0.750466233
268,0.707570334,0.651930533
268.8,0.707329009,0.6753644
269.6,0.707124616,0.684766467
270.4,0.70695804,0.778583567
271.2,0.706830131,0.6331171
272,0.706741702,0.6425295
272.8,0.706693528,0.783301133
273.6,0.706686348,0.656618133
274.4,0.706720861,0.637834667
275.2,0.706797727,0.548683467
276,0.706917564,0.633145
276.8,0.707080954,0.656600567
277.6,0.707288433,0.4454333
278.4,0.707540498,0.506441333
279.2,0.707837604,0.520545467
280,0.708180163,0.5486597
280.8,0.708568543,0.384443867
281.6,0.709003071,0.4689054
282.4,0.709484028,0.492360967
283.2,0.710011653,0.440740533
284,0.71058614,0.576817333
284.8,0.71120764,0.417306667
285.6,0.711876258,0.590884267
286.4,0.712592056,0.454831233
287.2,0.713355049,0.407914933
288,0.714165211,0.2530526
288.8,0.715022468,0.342207933
289.6,0.715926705,0.384446967
290.4,0.716877759,0.3516069
291.2,0.717875426,0.328133767
292,0.718919456,0.421975667
292.8,0.720009556,0.328123433
293.6,0.72114539,0.4923589
294.4,0.722326577,0.295289567
295.2,0.723552695,0.3515821
296,0.724823279,0.304667867
296.8,0.726137823,0.2999999
297.6,0.727495777,0.375067633
298.4,0.728896552,0.4923775
299.2,0.730339518,0.417290133
300,0.731824006,0.370386233
300.8,0.733349307,0.360971767
301.6,0.734914673,0.093530567
302.4,0.736519319,0.332827567
303.2,0.738162423,0.140452033
304,0.739843126,0.384446967
304.8,0.741560534,0.224919767
305.6,0.743313719,0.295294733
306.4,0.745101717,0.290589567
307.2,0.746923534,0.450150867
308,0.748778142,0.234269133
308.8,0.750664484,0.131053067
309.6,0.752581469,0.3985015
310.4,0.754527983,0.445435367
311.2,0.756502879,0.135761333
312,0.758504985,0.3328503
312.8,0.760533105,0.421987033
313.6,0.762586017,0.356293467
314.4,0.764662474,0.4078922
315.2,0.766761209,0.262432967
316,0.768880934,0.2014456
316.8,0.77102034,0.238972233
317.6,0.7731781,0.318761667
318.4,0.77535287,0.1873766
319.2,0.777543288,0.187362133
320,0.77974798,0.267128833
320.8,0.781965558,0.182680733
321.6,0.78419462,0.384455233
322.4,0.786433754,0.215528033
323.2,0.78868154,0.3375379
324,0.790936547,0.2812061
324.8,0.793197341,0.168589
325.6,0.795462478,0.253050533
326.4,0.797730514,0.121679933
327.2,0.8,0.2859123
