time,Distance (um),Distance to position,Average Content of C (wt. %),Average Content of N (wt. %),Theoretical value of cementite,Actual value of cementite
130.0,77.8,342.2,0.465,1.902,0.076872811,0.001
130.0,79.1,340.9,0.417,1.831,0.0580028,0.001
130.0,80.4,339.6,0.401,1.892,0.064204584,0.001
130.0,81.6,338.4,0.44,1.714,0.044577966,0.001
130.0,82.9,337.1,0.423,1.887,0.067332041,0.001
130.0,84.2,335.8,0.445,1.643,0.034691621,0.001
130.0,85.5,334.5,0.422,1.92,0.072026322,0.001
130.0,86.8,333.2,0.464,2.024,0.08220611,0.001
130.0,88.1,331.9,0.464,1.831,0.06624328,0.001
130.0,89.4,330.6,0.436,1.873,0.067538098,0.001
130.0,90.7,329.3,0.441,1.62,0.030480835,0.001
130.0,92.0,328.0,0.467,1.812,0.063988185,0.001
130.0,93.3,326.7,0.52,1.798,0.071294069,0.001
130.0,94.6,325.4,0.497,1.902,0.082456435,0.001
130.0,95.9,324.1,0.426,1.925,0.072850353,0.001
130.0,97.2,322.8,0.462,1.826,0.065154534,0.001953125
130.0,98.5,321.5,0.423,1.681,0.036507657,0.001953125
130.0,99.8,320.2,0.441,1.77,0.053214091,0.010986328
130.0,101.1,318.9,0.447,1.61,0.030038444,0.002278646
130.0,102.4,317.6,0.45,1.545,0.020706501,0.001
130.0,103.7,316.3,0.448,1.761,0.053131561,0.0078125
130.0,105.0,315.0,0.477,2.01,0.084096476,0.010620117
130.0,106.3,313.7,0.452,1.897,0.0738695,0.002485795
130.0,107.6,312.4,0.457,1.761,0.054729604,0.004527699
130.0,108.9,311.1,0.494,1.897,0.08120139,0.009347098
130.0,110.2,309.8,0.541,1.864,0.084609583,0.012565104
130.0,111.5,308.5,0.522,1.826,0.075732695,0.016906738
130.0,112.8,307.2,0.509,1.911,0.085862639,0.007557745
130.0,114.0,306.0,0.532,1.822,0.076914844,0.001
130.0,115.3,304.7,0.517,1.639,0.046951962,0.001
130.0,116.6,303.4,0.476,1.765,0.05869015,0.014973958
130.0,117.9,302.1,0.494,1.826,0.070783911,0.014770508
130.0,119.2,300.8,0.52,1.756,0.06514566,0.018196615
130.0,120.5,299.5,0.502,1.733,0.058486313,0.023651123
130.0,121.8,298.2,0.533,1.798,0.073589593,0.025130208
130.0,123.1,296.9,0.572,1.794,0.079832578,0.02645874
130.0,124.4,295.6,0.605,1.794,0.085625196,0.025101273
130.0,125.7,294.3,0.553,1.554,0.040556385,0.022786458
130.0,127.0,293.0,0.553,1.582,0.044772445,0.038220636
130.0,128.3,291.7,0.536,1.77,0.070033861,0.035897091
130.0,129.6,290.4,0.561,1.634,0.054026835,0.001
130.0,130.9,289.1,0.531,1.653,0.051538994,0.025173611
130.0,132.2,287.8,0.547,1.878,0.087681023,0.037923177
130.0,133.5,286.5,0.564,1.733,0.069461177,0.027377425
130.0,134.8,285.2,0.576,1.69,0.065126009,0.037727865
130.0,136.1,283.9,0.547,1.69,0.05995801,0.047454834
130.0,137.4,282.6,0.573,1.686,0.063989824,0.033518145
130.0,138.7,281.3,0.546,1.493,0.03012095,0.024810791
130.0,140.0,280.0,0.544,1.69,0.059422819,0.050325521
130.0,141.3,278.7,0.642,1.765,0.087948349,0.038400958
130.0,142.6,277.4,0.58,1.62,0.055302734,0.046909877
130.0,143.9,276.1,0.553,1.728,0.066747654,0.001
130.0,145.2,274.8,0.536,1.704,0.060120922,0.049835205
130.0,146.4,273.6,0.499,1.704,0.053577225,0.049804688
130.0,147.7,272.3,0.552,1.639,0.053174142,0.043220766
130.0,149.0,271.0,0.584,1.573,0.048939319,0.050882274
130.0,150.3,269.7,0.512,1.615,0.042435774,0.037825521
130.0,151.6,268.4,0.535,1.592,0.043067035,0.04397583
130.0,152.9,267.1,0.564,1.714,0.066601546,0.061458333
130.0,154.2,265.8,0.596,1.77,0.080595115,0.047515869
130.0,155.5,264.5,0.545,1.657,0.054634488,0.001
130.0,156.8,263.2,0.515,1.62,0.043729557,0.001
130.0,158.1,261.9,0.589,1.737,0.074468911,0.043914795
130.0,159.4,260.6,0.609,1.629,0.061800758,0.036353327
130.0,160.7,259.3,0.564,1.61,0.050948827,0.050445557
130.0,162.0,258.0,0.592,1.681,0.066596257,0.048046875
130.0,163.3,256.7,0.638,1.592,0.061394511,0.039916992
130.0,164.6,255.4,0.527,1.502,0.028049316,0.040858115
130.0,165.9,254.1,0.566,1.409,0.021056928,0.046519886
130.0,167.2,252.8,0.556,1.629,0.05238266,0.035185843
130.0,168.5,251.5,0.585,1.732,0.073014465,0.041791131
130.0,169.8,250.2,0.551,1.592,0.045921387,0.045003255
130.0,171.1,248.9,0.525,1.648,0.049724714,0.001
130.0,172.4,247.6,0.51,1.531,0.029356375,0.0349491
130.0,173.7,246.3,0.508,1.601,0.039600329,0.037937973
130.0,175.0,245.0,0.574,1.723,0.069727315,0.0286544
130.0,176.3,243.7,0.489,1.77,0.061719478,0.027636719
130.0,177.6,242.4,0.498,1.582,0.034929539,0.040244655
130.0,178.8,241.2,0.551,1.634,0.05224321,0.052148438
130.0,180.1,239.9,0.556,1.808,0.079084089,0.024860491
130.0,181.4,238.6,0.571,1.409,0.021962648,0.028680099
130.0,182.7,237.3,0.585,1.657,0.061761752,0.001
130.0,184.0,236.0,0.649,1.456,0.043032129,0.034462377
130.0,185.3,234.7,0.623,1.629,0.06428441,0.026600713
130.0,186.6,233.4,0.608,1.596,0.056672637,0.024604611
130.0,187.9,232.1,0.534,1.54,0.035056588,0.023734715
130.0,189.2,230.8,0.57,1.686,0.063455667,0.029255319
130.0,190.5,229.5,0.611,1.902,0.10224609,0.032392786
130.0,191.8,228.2,0.592,1.516,0.041807784,0.027700571
130.0,193.1,226.9,0.495,1.54,0.0280219,0.026523438
130.0,194.4,225.6,0.517,1.446,0.017778305,0.023662861
130.0,195.7,224.3,0.498,1.563,0.032047443,0.016003667
130.0,197.0,223.0,0.517,1.7,0.056160612,0.001
130.0,198.3,221.7,0.505,1.723,0.057507904,0.001
130.0,199.6,220.4,0.535,1.493,0.028134118,0.019461496
130.0,200.9,219.1,0.541,1.643,0.051813803,0.028629557
130.0,202.2,217.8,0.599,1.582,0.052972467,0.012363979
130.0,203.5,216.5,0.586,1.46,0.032323804,0.016399515
130.0,204.8,215.2,0.571,1.653,0.058666991,0.020373775
130.0,206.1,213.9,0.518,1.549,0.033525789,0.02507673
130.0,207.4,212.6,0.513,1.465,0.019925227,0.016246449
130.0,208.7,211.3,0.572,1.568,0.046049822,0.016399515
130.0,210.0,210.0,0.575,1.596,0.05080004,0.017410278
130.0,211.2,208.8,0.606,1.338,0.017594337,0.020791903
130.0,212.5,207.5,0.558,1.629,0.052739454,0.016422526
130.0,213.8,206.2,0.554,1.592,0.046456577,0.017450051
130.0,215.1,204.9,0.55,1.446,0.023740343,0.018017578
130.0,216.4,203.6,0.554,1.521,0.035765854,0.016174316
130.0,217.7,202.3,0.534,1.456,0.022361701,0.019796081
130.0,219.0,201.0,0.504,1.747,0.060953911,0.020828247
130.0,220.3,199.7,0.515,1.399,0.010312666,0.015209057
130.0,221.6,198.4,0.517,1.441,0.017022657,0.010824947
130.0,222.9,197.1,0.541,1.629,0.049706706,0.01047092
130.0,224.2,195.8,0.551,1.498,0.031767471,0.001
130.0,225.5,194.5,0.553,1.681,0.059673829,0.014908854
130.0,226.8,193.2,0.571,1.479,0.032473293,0.014238281
130.0,228.1,191.9,0.536,1.418,0.016982697,0.016022859
130.0,229.4,190.6,0.553,1.479,0.029263367,0.015075684
130.0,230.7,189.3,0.543,1.484,0.02821892,0.015075684
130.0,232.0,188.0,0.531,1.38,0.010339237,0.018880208
130.0,233.3,186.7,0.522,1.531,0.031528969,0.014818274
130.0,234.6,185.4,0.526,1.709,0.059109943,0.014221191
130.0,235.9,184.1,0.554,1.437,0.023103026,0.014257813
130.0,237.2,182.8,0.517,1.315,0.001,0.020256696
130.0,238.5,181.5,0.53,1.437,0.01876812,0.001
130.0,239.8,180.2,0.534,1.23,0.001,0.01651001
130.0,241.1,178.9,0.554,1.399,0.017364728,0.011688232
130.0,242.4,177.6,0.551,1.329,0.006252314,0.018977865
130.0,243.6,176.4,0.575,1.512,0.03815186,0.009545111
130.0,244.9,175.1,0.574,1.601,0.051374789,0.013599537
130.0,246.2,173.8,0.517,1.653,0.049065422,0.015755208
130.0,247.5,172.5,0.554,1.7,0.062711857,0.016286542
130.0,248.8,171.2,0.508,1.662,0.048830459,0.022167969
130.0,250.1,169.9,0.548,1.568,0.04177243,0.013641357
130.0,251.4,168.6,0.546,1.521,0.034338678,0.001
130.0,252.7,167.3,0.567,1.493,0.033866542,0.01233724
130.0,254.0,166.0,0.551,1.474,0.028152593,0.01776123
130.0,255.3,164.7,0.523,1.587,0.040172848,0.013085938
130.0,256.6,163.4,0.51,1.512,0.026484913,0.015289307
130.0,257.9,162.1,0.572,1.183,0.001,0.015523976
130.0,259.2,160.8,0.563,1.629,0.053630405,0.021179199
130.0,260.5,159.5,0.564,1.376,0.015707537,0.012514468
130.0,261.8,158.2,0.553,1.432,0.022167366,0.013325353
130.0,263.1,156.9,0.564,1.179,0.001,0.007543103
130.0,264.4,155.6,0.634,1.394,0.031054294,0.010970052
130.0,265.7,154.3,0.61,1.517,0.045172755,0.001
130.0,267.0,153.0,0.594,1.732,0.074599283,0.022460938
130.0,268.3,151.7,0.583,1.385,0.020517511,0.01077474
130.0,269.6,150.4,0.563,1.615,0.051523309,0.014513739
130.0,270.9,149.1,0.526,1.221,0.001,0.010058594
130.0,272.2,147.8,0.531,1.31,0.001,0.013458252
130.0,273.5,146.5,0.569,1.657,0.058912914,0.010521673
130.0,274.8,145.2,0.585,1.263,0.00249857,0.010955811
130.0,276.0,144.0,0.54,1.38,0.011966883,0.010546875
130.0,277.3,142.7,0.543,1.291,0.001,0.001
130.0,278.6,141.4,0.549,1.352,0.009364253,0.001
130.0,279.9,140.1,0.54,1.282,0.001,0.008316532
130.0,281.2,138.8,0.546,1.319,0.003836946,0.012115479
130.0,282.5,137.5,0.543,1.423,0.019002084,0.014718192
130.0,283.8,136.2,0.568,1.348,0.01221158,0.016822077
130.0,285.1,134.9,0.57,1.282,0.002611194,0.012207031
130.0,286.4,133.6,0.621,1.08,0.001,0.0125
130.0,287.7,132.3,0.573,1.235,0.001,0.010184152
130.0,289.0,131.0,0.604,1.235,0.001767776,0.013446514
130.0,290.3,129.7,0.62,1.146,0.001,0.01335798
130.0,291.6,128.4,0.635,1.329,0.021516985,0.013945313
130.0,292.9,127.1,0.543,1.188,0.001,0.001
130.0,294.2,125.8,0.554,1.028,0.001,0.013881138
130.0,295.5,124.5,0.546,1.254,0.001,0.012995793
130.0,296.8,123.2,0.54,1.052,0.001,0.010986328
130.0,298.1,121.9,0.579,1.23,0.001,0.012313179
130.0,299.4,120.6,0.556,1.052,0.001,0.016927083
130.0,300.7,119.3,0.504,1.169,0.001,0.017724609
130.0,302.0,118.0,0.569,1.324,0.008770458,0.012100883
130.0,303.3,116.7,0.566,1.15,0.001,0.00953311
130.0,304.6,115.4,0.542,1.16,0.001,0.010076349
130.0,305.9,114.1,0.569,1.216,0.001,0.009928385
130.0,307.2,112.8,0.524,1.258,0.001,0.001
130.0,308.4,111.6,0.521,1.103,0.001,0.013020833
130.0,309.7,110.3,0.531,1.216,0.001,0.009137835
130.0,311.0,109.0,0.515,1.075,0.001,0.006184896
130.0,312.3,107.7,0.508,1.075,0.001,0.01163737
130.0,313.6,106.4,0.534,1.183,0.001,0.01340554
130.0,314.9,105.1,0.524,0.902,0.001,0.00406901
130.0,316.2,103.8,0.541,0.963,0.001,0.004172585
130.0,317.5,102.5,0.608,1.061,0.001,0.006429036
130.0,318.8,101.2,0.612,1.024,0.001,0.001
130.0,320.1,99.9,0.62,1.038,0.001,0.001
130.0,321.4,98.6,0.585,1.071,0.001,0.008178711
130.0,322.7,97.3,0.554,1.056,0.001,0.027669271
130.0,324.0,96.0,0.546,1.075,0.001,0.001220703
130.0,325.3,94.7,0.523,0.855,0.001,0.005208333
130.0,326.6,93.4,0.578,1.005,0.001,0.00390625
130.0,327.9,92.1,0.554,0.794,0.001,0.030761719
130.0,329.2,90.8,0.549,0.925,0.001,0.017578125
130.0,330.5,89.5,0.543,0.798,0.001,0.012451172
130.0,331.8,88.2,0.565,1.038,0.001,0.000651042
130.0,333.1,86.9,0.561,0.92,0.001,0.001
130.0,334.4,85.6,0.579,0.887,0.001,0.001
130.0,335.7,84.3,0.569,0.864,0.001,0.001
130.0,337.0,83.0,0.52,0.779,0.001,0.001
130.0,338.3,81.7,0.497,0.906,0.001,0.001
130.0,339.6,80.4,0.538,0.916,0.001,0.001
130.0,340.8,79.2,0.548,0.963,0.001,0.001
130.0,342.1,77.9,0.56,0.897,0.001,0.001
130.0,343.4,76.6,0.576,0.958,0.001,0.001
130.0,344.7,75.3,0.612,0.812,0.001,0.001
130.0,346.0,74.0,0.584,0.709,0.001,0.001
130.0,347.3,72.7,0.573,0.728,0.001,0.001
130.0,348.6,71.4,0.577,0.672,0.001,0.001
130.0,349.9,70.1,0.579,0.615,0.001,0.001
130.0,351.2,68.8,0.599,0.737,0.001,0.001
130.0,352.5,67.5,0.592,0.77,0.001,0.001
130.0,353.8,66.2,0.616,0.803,0.001,0.001
130.0,355.1,64.9,0.646,0.873,0.001,0.001
130.0,356.4,63.6,0.599,0.554,0.001,0.001
130.0,357.7,62.3,0.666,0.728,0.001,0.001
130.0,359.0,61.0,0.718,0.794,0.001,0.001
130.0,360.3,59.7,0.694,0.667,0.001,0.001
130.0,361.6,58.4,0.692,0.54,0.001,0.001
130.0,362.9,57.1,0.738,0.887,0.001,0.001
130.0,364.2,55.8,0.714,0.592,0.001,0.001
130.0,365.5,54.5,0.643,0.752,0.001,0.001
130.0,366.8,53.2,0.582,0.578,0.001,0.001
130.0,368.1,51.9,0.572,0.507,0.001,0.001
130.0,369.4,50.6,0.585,0.662,0.001,0.001
130.0,370.7,49.3,0.603,0.648,0.001,0.001
130.0,372.0,48.0,0.605,0.512,0.001,0.001
130.0,373.2,46.8,0.597,0.564,0.001,0.001
130.0,374.5,45.5,0.616,0.446,0.001,0.001
130.0,375.8,44.2,0.597,0.512,0.001,0.001
130.0,377.1,42.9,0.68,0.629,0.001,0.001
130.0,378.4,41.6,0.615,0.484,0.001,0.001
130.0,379.7,40.3,0.635,0.324,0.001,0.001
130.0,381.0,39.0,0.617,0.409,0.001,0.001
130.0,382.3,37.7,0.628,0.446,0.001,0.001
130.0,383.6,36.4,0.64,0.554,0.001,0.001
130.0,384.9,35.1,0.623,0.662,0.001,0.001
130.0,386.2,33.8,0.623,0.385,0.001,0.001
130.0,387.5,32.5,0.631,0.446,0.001,0.001
130.0,388.8,31.2,0.664,0.385,0.001,0.001
130.0,390.1,29.9,0.6,0.479,0.001,0.001
130.0,391.4,28.6,0.605,0.427,0.001,0.001
130.0,392.7,27.3,0.692,0.395,0.001,0.001
130.0,394.0,26.0,0.654,0.441,0.001,0.001
130.0,395.3,24.7,0.679,0.263,0.001,0.001
130.0,396.6,23.4,0.68,0.376,0.001,0.001
130.0,397.9,22.1,0.648,0.272,0.001,0.001
130.0,399.2,20.8,0.669,0.15,0.001,0.001
130.0,400.5,19.5,0.651,0.305,0.001,0.001
130.0,401.8,18.2,0.622,0.287,0.001,0.001
130.0,403.1,16.9,0.618,0.155,0.001,0.001
130.0,404.4,15.6,0.64,0.329,0.001,0.001
130.0,405.6,14.4,0.646,0.122,0.001,0.001
130.0,406.9,13.1,0.607,0.423,0.001,0.001
130.0,408.2,11.8,0.615,0.193,0.001,0.001
130.0,409.5,10.5,0.626,0.357,0.001,0.001
130.0,410.8,9.2,0.635,0.179,0.001,0.001
130.0,412.1,7.9,0.668,0.038,0.001,0.001
130.0,413.4,6.6,0.648,0.16,0.001,0.001
130.0,414.7,5.3,0.636,0.244,0.001,0.001
130.0,416.0,4.0,0.656,0.103,0.001,0.001
130.0,417.3,2.7,0.7,0.221,0.001,0.001
130.0,418.6,1.4,0.695,0.118,0.001,0.001
130.0,419.9,0.1,0.643,0.132,0.001,0.001
